region,taxa_group,taxa,period,"extraction_method: 
Foraging and collection","extraction_method: 
Spears, harpoons (unmechanised)","extraction_method: 
Hand lines, hand nets","extraction_method: 
Other hand held weapons (e.g. axes, clubs, guns)","extraction_method: 
Fixed traps (e.g. coastal fish traps of stone or wood)","extraction_method: 
Portable traps (e.g. lobster pots)
","extraction_method: 
Nets and longlines (unmechanised)","extraction_method: 
Nets, longlines, harpoons (mechanised)","extraction_method: 
Other",extraction_level,sustainable_or_not,drivers_of_change,"extraction_for_ Nonmarket_consumption_(e.g., recreational, subsistence, non-commercial fishing)",extraction_for_ Local_markets,extraction_for_ Regional markets,"extraction_for_ Inter-regional markets (e.g. long distance, transoceanic)",bibliographical_ref
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Acanthuridae,"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Balistidae,"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
